DATE,BAMLCC1A013YTRIV
1975-12-31,100.00
1976-01-01,.
1976-01-02,.
1976-01-05,.
1976-01-06,.
1976-01-07,.
1976-01-08,.
1976-01-09,.
1976-01-12,.
1976-01-13,.
1976-01-14,.
1976-01-15,.
1976-01-16,.
1976-01-19,.
1976-01-20,.
1976-01-21,.
1976-01-22,.
1976-01-23,.
1976-01-26,.
1976-01-27,.
1976-01-28,.
1976-01-29,.
1976-01-30,.
1976-01-31,.
1976-02-02,.
1976-02-03,.
1976-02-04,.
1976-02-05,.
1976-02-06,.
1976-02-09,.
1976-02-10,.
1976-02-11,.
1976-02-12,.
1976-02-13,.
1976-02-16,.
1976-02-17,.
1976-02-18,.
1976-02-19,.
1976-02-20,.
1976-02-23,.
1976-02-24,.
1976-02-25,.
1976-02-26,.
1976-02-27,.
1976-02-29,.
1976-03-01,.
1976-03-02,.
1976-03-03,.
1976-03-04,.
1976-03-05,.
1976-03-08,.
1976-03-09,.
1976-03-10,.
1976-03-11,.
1976-03-12,.
1976-03-15,.
1976-03-16,.
1976-03-17,.
1976-03-18,.
1976-03-19,.
1976-03-22,.
1976-03-23,.
1976-03-24,.
1976-03-25,.
1976-03-26,.
1976-03-29,.
1976-03-30,.
1976-03-31,103.17
1976-04-01,.
1976-04-02,.
1976-04-05,.
1976-04-06,.
1976-04-07,.
1976-04-08,.
1976-04-09,.
1976-04-12,.
1976-04-13,.
1976-04-14,.
1976-04-15,.
1976-04-16,.
1976-04-19,.
1976-04-20,.
1976-04-21,.
1976-04-22,.
1976-04-23,.
1976-04-26,.
1976-04-27,.
1976-04-28,.
1976-04-29,.
1976-04-30,103.17
1976-05-03,.
1976-05-04,.
1976-05-05,.
1976-05-06,.
1976-05-07,.
1976-05-10,.
1976-05-11,.
1976-05-12,.
1976-05-13,.
1976-05-14,.
1976-05-17,.
1976-05-18,.
1976-05-19,.
1976-05-20,.
1976-05-21,.
1976-05-24,.
1976-05-25,.
1976-05-26,.
1976-05-27,.
1976-05-28,.
1976-05-31,103.17
1976-06-01,.
1976-06-02,.
1976-06-03,.
1976-06-04,.
1976-06-07,.
1976-06-08,.
1976-06-09,.
1976-06-10,.
1976-06-11,.
1976-06-14,.
1976-06-15,.
1976-06-16,.
1976-06-17,.
1976-06-18,.
1976-06-21,.
1976-06-22,.
1976-06-23,.
1976-06-24,.
1976-06-25,.
1976-06-28,.
1976-06-29,.
1976-06-30,104.84
1976-07-01,.
1976-07-02,.
1976-07-05,.
1976-07-06,.
1976-07-07,.
1976-07-08,.
1976-07-09,.
1976-07-12,.
1976-07-13,.
1976-07-14,.
1976-07-15,.
1976-07-16,.
1976-07-19,.
1976-07-20,.
1976-07-21,.
1976-07-22,.
1976-07-23,.
1976-07-26,.
1976-07-27,.
1976-07-28,.
1976-07-29,.
1976-07-30,.
1976-07-31,104.84
1976-08-02,.
1976-08-03,.
1976-08-04,.
1976-08-05,.
1976-08-06,.
1976-08-09,.
1976-08-10,.
1976-08-11,.
1976-08-12,.
1976-08-13,.
1976-08-16,.
1976-08-17,.
1976-08-18,.
1976-08-19,.
1976-08-20,.
1976-08-23,.
1976-08-24,.
1976-08-25,.
1976-08-26,.
1976-08-27,.
1976-08-30,.
1976-08-31,104.84
1976-09-01,.
1976-09-02,.
1976-09-03,.
1976-09-06,.
1976-09-07,.
1976-09-08,.
1976-09-09,.
1976-09-10,.
1976-09-13,.
1976-09-14,.
1976-09-15,.
1976-09-16,.
1976-09-17,.
1976-09-20,.
1976-09-21,.
1976-09-22,.
1976-09-23,.
1976-09-24,.
1976-09-27,.
1976-09-28,.
1976-09-29,.
1976-09-30,107.99
1976-10-01,.
1976-10-04,.
1976-10-05,.
1976-10-06,.
1976-10-07,.
1976-10-08,.
1976-10-11,.
1976-10-12,.
1976-10-13,.
1976-10-14,.
1976-10-15,.
1976-10-18,.
1976-10-19,.
1976-10-20,.
1976-10-21,.
1976-10-22,.
1976-10-25,.
1976-10-26,.
1976-10-27,.
1976-10-28,.
1976-10-29,.
1976-10-31,107.99
1976-11-01,.
1976-11-02,.
1976-11-03,.
1976-11-04,.
1976-11-05,.
1976-11-08,.
1976-11-09,.
1976-11-10,.
1976-11-11,.
1976-11-12,.
1976-11-15,.
1976-11-16,.
1976-11-17,.
1976-11-18,.
1976-11-19,.
1976-11-22,.
1976-11-23,.
1976-11-24,.
1976-11-25,.
1976-11-26,.
1976-11-29,.
1976-11-30,107.99
1976-12-01,.
1976-12-02,.
